Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,0,3834792,3834792,134218752,1024,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1189867,1189867,10667,9518944,2097168,577707704,9414326,0,2370097316,4037003633471226,4037015960043786,4037015960774349,4037003652395252
1,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,1,3834792,3834792,134218752,1024,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1183639,1183639,9453,9469120,2097168,573167834,9368775,0,2352085072,4037003651585300,4037015960774349,4037015961500272,4037003653161295
2,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,2,3834792,3834792,134218752,1024,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1185320,1185320,9423,9482568,2097168,580325569,9388155,0,2380753012,4037003651665079,4037015961500272,4037015962226995,4037003653930548
3,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,3,3834792,3834792,134218752,1024,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1185802,1185802,9222,9486424,2097168,564195419,9391367,0,2315975516,4037003651735288,4037015962226995,4037015962954999,4037003654705401
4,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,5,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1198980,1198980,11443,9591848,2181049,482380974,9479337,0,1990980808,4037003654732911,4037015963005239,4037015963701242,4037003655656652
5,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,7,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1202760,1202760,11443,9622088,2181049,483915873,9509366,0,1997130312,4037003655690122,4037015963724602,4037015964420605,4037003656619233
6,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,8,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1132432,1132432,9462,9059464,2181049,437805136,8956792,0,1812044616,4037003655843620,4037015964420605,4037015965115649,4037003657358966
7,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,10,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1198189,1198189,11602,9585520,2181049,479511475,9470731,0,1979411184,4037003657387706,4037015965139489,4037015965832932,4037003658311468
8,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,11,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1135898,1135898,9749,9087192,2181049,454303916,8988438,0,1878296604,4037003657543405,4037015965832932,4037015966524295,4037003659041801
9,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,13,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1201920,1201920,11490,9615368,2181049,483596582,9502080,0,1995751804,4037003659083321,4037015966559656,4037015967257899,4037003659973892
10,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,14,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1130489,1130489,9208,9043920,2181049,437315597,8947494,0,1810096016,4037003659217659,4037015967257899,4037015967955182,4037003660715556
11,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,16,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1201992,1201992,12337,9615944,2181049,482064119,9494544,0,1989622776,4037003660759605,4037015967977422,4037015968674706,4037003661639667
12,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,17,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1130887,1130887,9161,9047104,2181049,437218474,8953747,0,1809705832,4037003660883764,4037015968674706,4037015969379829,4037003662385240
13,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,19,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1212825,1212825,12396,9702608,2181049,497861995,9584851,0,2052940880,4037003662428530,4037015969413429,4037015970116472,4037003663325972
14,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,20,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1143854,1143854,9250,9150840,2181049,461736648,9057060,0,1908110148,4037003662559829,4037015970116472,4037015970817276,4037003664082545
15,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,22,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1200431,1200431,11609,9603456,2181049,482788186,9488901,0,1992549552,4037003664123484,4037015970848636,4037015971552159,4037003665006516
16,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,23,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1134135,1134135,9409,9073088,2181049,447540950,8979582,0,1851225840,4037003664248723,4037015971552159,4037015972254403,4037003665745459
17,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,25,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1198254,1198254,12792,9586040,2181049,476863853,9462540,0,1968808412,4037003665785199,4037015972288803,4037015972993446,4037003666657641
18,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,26,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1132279,1132279,9560,9058240,2181049,436041559,8960113,0,1804977396,4037003665903488,4037015972993446,4037015973692809,4037003667400364
19,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,28,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1202137,1202137,11791,9617104,2181049,481333809,9498678,0,1986725904,4037003667442714,4037015973724810,4037015974422733,4037003668320756
20,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,29,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1135843,1135843,9070,9086752,2181049,443401898,8994501,0,1834513520,4037003667564823,4037015974422733,4037015975128016,4037003669063829
21,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,31,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1197496,1197496,11497,9579976,2181049,475075300,9467435,0,1961627436,4037003669105639,4037015975152016,4037015975858100,4037003669980800
22,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,32,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa940,1132502,1132502,9383,9060024,2181049,441692981,8964407,0,1827677428,4037003669227327,4037015975858100,4037015976567863,4037003670719364
23,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,34,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1347246,1347246,12443,10777976,2181049,703322598,10659968,0,2872383256,4037003670765363,4037015976600983,4037015977404027,4037003671725135
24,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,36,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1337710,1337710,12182,10701688,2181049,698068959,10584932,0,2851380232,4037003671765964,4037015977423707,4037015978225311,4037003672727745
25,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,37,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1309864,1309864,9844,10478920,2181049,680895277,10385099,0,2782689148,4037003671894743,4037015978225311,4037015979041315,4037003673574827
26,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,39,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1337423,1337423,12959,10699392,2181049,697213589,10577882,0,2847944716,4037003673616287,4037015979061475,4037015979865319,4037003674577568
27,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,40,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1313658,1313658,10149,10509272,2181049,686333320,10409917,0,2804442048,4037003673740686,4037015979865319,4037015980681963,4037003675424661
28,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,42,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1343684,1343684,12868,10749480,2181049,701141549,10629746,0,2863662232,4037003675464780,4037015980702763,4037015981503246,4037003676425211
29,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,43,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1312562,1312562,10248,10500504,2181049,686271584,10402554,0,2804197416,4037003675589209,4037015981503246,4037015982317170,4037003677272433
30,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,45,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1346899,1346899,12929,10775200,2181049,705900034,10656607,0,2882707540,4037003677314573,4037015982337970,4037015983138774,4037003678275294
31,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,46,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1322438,1322438,9986,10579512,2181049,691542242,10482662,0,2825268840,4037003677436452,4037015983138774,4037015983953978,4037003679130676
32,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,48,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1353062,1353062,12665,10824504,2181049,707948594,10708779,0,2890881896,4037003679166996,4037015983975258,4037015984779262,4037003680140757
33,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,49,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1315300,1315300,9533,10522408,2181049,686351071,10428814,0,2804520156,4037003679298565,4037015984779262,4037015985592226,4037003680987799
34,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,51,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1344141,1344141,12562,10753136,2181049,701619941,10636735,0,2865583380,4037003681028539,4037015985613186,4037015986415270,4037003681987720
35,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,52,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1312450,1312450,9671,10499608,2181049,684940370,10406334,0,2798875156,4037003681151538,4037015986415270,4037015987230154,4037003682832682
36,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,54,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1352453,1352453,12592,10819632,2181049,705251561,10700856,0,2880092816,4037003682872422,4037015987262794,4037015988063278,4037003683831803
37,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,55,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1315745,1315745,10096,10525968,2181049,685531387,10429264,0,2801241396,4037003682990791,4037015988063278,4037015988876881,4037003684680565
38,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,57,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1342301,1342301,12086,10738416,2181049,701023336,10624410,0,2863196428,4037003684718095,4037015988897042,4037015989702005,4037003685684126
39,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,58,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1310575,1310575,9381,10484608,2181049,685234089,10391946,0,2800052472,4037003684842184,4037015989702005,4037015990515769,4037003686534368
40,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,60,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1351910,1351910,12441,10815288,2181049,706883246,10699871,0,2886636948,4037003686572828,4037015990535769,4037015991337213,4037003687540639
41,"void read_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,61,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa980,1317909,1317909,9996,10543280,2181049,688051649,10448438,0,2811310552,4037003686693037,4037015991337213,4037015992152737,4037003688395351
42,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,63,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2637196,2637196,14706,21097576,2181049,1603713976,20979487,0,6474130356,4037003688436901,4037015992184737,4037015993682184,4037003690202115
43,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,65,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2654358,2654358,14043,21234872,2181049,1615819012,21119861,0,6522544132,4037003690234285,4037015993703304,4037015995221552,4037003692006498
44,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,66,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2639414,2639414,12104,21115320,2181049,1608801878,21011009,0,6494401064,4037003690360543,4037015995221552,4037015996774839,4037003693661553
45,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,68,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2654510,2654510,15164,21236088,2181049,1615830424,21111935,0,6522556904,4037003693710762,4037015996806999,4037015998315006,4037003695469246
46,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,69,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2620381,2620381,12099,20963056,2181049,1592101861,20860148,0,6427658912,4037003693827821,4037015998315006,4037015999839013,4037003697120691
47,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,71,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2634822,2634822,14144,21078584,2181049,1603969015,20964500,0,6475142104,4037003697169141,4037015999871654,4037016001368301,4037003698929385
48,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,72,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2612945,2612945,11198,20903568,2181049,1588559122,20807241,0,6413482160,4037003697291150,4037016001368301,4037016002913428,4037003700592159
49,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,74,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2645563,2645563,14234,21164512,2181049,1608613324,21043827,0,6493731468,4037003700632589,4037016002946228,4037016004465755,4037003702397563
50,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,75,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2625044,2625044,12428,21000360,2181049,1595666774,20894078,0,6441923532,4037003700755428,4037016004465755,4037016006008963,4037003704055738
51,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,77,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2651007,2651007,14933,21208064,2181049,1611716345,21084708,0,6506132440,4037003704097327,4037016006042563,4037016007555210,4037003705858941
52,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,78,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2634992,2634992,11738,21079944,2181049,1607596168,20983251,0,6489594332,4037003704217746,4037016007555210,4037016009089297,4037003707523906
53,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,80,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2658000,2658000,15029,21264008,2181049,1618307944,21145840,0,6532521232,4037003707569455,4037016009121457,4037016010628825,4037003709363029
54,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,81,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2643427,2643427,12274,21147424,2181049,1613689756,21042548,0,6513961888,4037003707689434,4037016010628825,4037016012135232,4037003711005744
55,"void scale_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,83,3834792,3834792,134218400,800,32768,0,8,0,16,64,0x0,0x7f583b4aa9c0,2660017,2660017,14158,21280144,2181049,1621787158,21161374,0,6546390932,4037003711050093,4037016012167796,4037016013668604,4037003712812817
